cod_cliente,primeiro_nome,ultimo_nome,email,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento,endereco,cep,idade,estado,cod_proposta,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
743,Clara,Dias,rafaelcorreia@example.org,PF,2019-05-06 11:39:00 UTC,589.237.610-95,1978-01-27,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792,47,SP,620,53,2011-05-22 07:28:55+00:00,0.01,112992.92,144872.96,31880.04,7113.02,18,0,Aprovada
743,Clara,Dias,rafaelcorreia@example.org,PF,2019-05-06 11:39:00 UTC,589.237.610-95,1978-01-27,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792,47,SP,1575,88,2010-08-24 06:02:33+00:00,0.02,55364.15,69378.04,14013.89,2146.49,40,4,Validação documentos
769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838,35,RS,1876,31,2015-08-19 02:41:58+00:00,0.01,74808.24,91810.14,17001.90,1012.53,114,1,Enviada
769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838,35,RS,1325,65,2015-12-14 14:03:55+00:00,0.02,25004.75,46782.48,21777.73,1289.79,25,0,Em análise
769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838,35,RS,1840,28,2022-11-09 21:15:07+00:00,0.02,133660.50,197742.96,64082.46,4724.38,43,3,Validação documentos
824,Heloísa,Dias,alanadias@example.org,PF,2016-01-07 12:26:00 UTC,536.981.240-33,1967-05-12,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131,58,MS,488,60,2011-05-05 11:22:58+00:00,0.02,73995.04,96178.01,22182.97,1687.10,91,6,Em análise
824,Heloísa,Dias,alanadias@example.org,PF,2016-01-07 12:26:00 UTC,536.981.240-33,1967-05-12,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131,58,MS,378,70,2020-11-23 03:22:45+00:00,0.02,149166.60,195978.09,46811.49,152299.10,1,2,Em análise
884,Maria Julia,Dias,alvesmariana@example.net,PF,2017-08-06 11:01:00 UTC,150.438.926-33,1950-12-10,"Esplanada Maria Luiza Ribeiro, 4 Conjunto Califórnia Ii 13748392 Moraes / ES",90221-380,75,ES,779,62,2018-09-14 15:19:45+00:00,0.02,91456.69,137939.39,46482.70,3160.46,50,3,Em análise
899,Arthur,Dias,castropedro-lucas@example.net,PF,2021-10-17 13:00:00 UTC,509.481.762-02,1953-02-26,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244,72,PB,1931,53,2011-04-28 12:55:00+00:00,0.02,37488.76,74713.76,37225.00,1028.25,86,6,Enviada
899,Arthur,Dias,castropedro-lucas@example.net,PF,2021-10-17 13:00:00 UTC,509.481.762-02,1953-02-26,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244,72,PB,1253,99,2014-02-04 03:34:28+00:00,0.01,153132.16,187128.35,33996.19,3995.57,49,2,Aprovada
908,Vitor Gabriel,Dias,acardoso@example.com,PF,2021-04-02 10:22:00 UTC,158.406.379-39,1948-03-25,"Passarela Lucca Castro, 73 Vila Paris 99268696 Farias / BA",42603-833,77,BA,1095,15,2021-09-16 20:13:33+00:00,0.01,19128.15,37501.87,18373.72,462.73,65,5,Validação documentos
5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,31,AL,436,65,2012-08-13 15:40:27+00:00,0.02,156438.84,211631.90,55193.06,6781.64,31,0,Aprovada
5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,31,AL,1301,85,2014-05-22 09:44:17+00:00,0.02,152921.38,208821.59,55900.21,10664.14,17,1,Aprovada
5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,31,AL,868,21,2010-10-30 04:10:42+00:00,0.01,95588.57,173050.34,77461.77,1403.07,106,3,Validação documentos
5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,31,AL,1320,53,2012-12-19 17:27:53+00:00,0.02,59852.05,79229.78,19377.73,2592.21,29,5,Validação documentos
262,João Lucas,Lima,brunaduarte@example.org,PF,2019-10-19 11:14:00 UTC,358.702.964-47,1950-10-17,"Rua João Lucas Freitas, 46 Vila Nova Cachoeirinha 2ª Seção 97602-589 Castro de Goiás / AC",29942-354,75,AC,644,23,2014-05-30 21:29:15+00:00,0.02,4841.48,6072.16,1230.68,197.93,33,6,Aprovada
281,Enrico,Lima,fernandesbryan@example.net,PF,2016-06-27 15:06:00 UTC,180.746.392-31,1978-01-15,"Praia Isabelly Martins, 7 Morro Dos Macacos 27993489 da Mota do Amparo / MS",97628-818,47,MS,321,54,2017-08-04 08:51:16+00:00,0.02,171606.19,247171.16,75564.97,3807.24,102,5,Aprovada
352,Carolina,Lima,maria-sophiacardoso@example.com,PF,2022-06-05 14:12:00 UTC,658.079.314-75,1948-07-19,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154,77,AP,565,55,2012-11-22 13:31:39+00:00,0.02,149014.97,190769.05,41754.08,4216.46,77,3,Aprovada
352,Carolina,Lima,maria-sophiacardoso@example.com,PF,2022-06-05 14:12:00 UTC,658.079.314-75,1948-07-19,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154,77,AP,1040,96,2016-08-11 18:19:52+00:00,0.02,77344.54,127506.91,50162.37,1920.32,77,0,Em análise
387,Isaac,Lima,nicolecardoso@example.com,PF,2014-02-08 13:28:00 UTC,869.103.725-30,1945-07-22,"Chácara Pietra Nascimento, 7 Apolonia 81600-416 Novaes das Pedras / AL",26119706,80,AL,751,78,2013-01-04 04:54:44+00:00,0.02,10569.28,12704.21,2134.93,511.98,26,2,Validação documentos
522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,35,DF,467,22,2010-04-07 07:20:32+00:00,0.02,150255.60,222421.41,72165.81,9829.55,18,6,Enviada
522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,35,DF,405,49,2019-04-24 01:38:15+00:00,0.01,21740.29,34760.37,13020.08,439.40,86,5,Em análise
522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,35,DF,316,54,2016-04-28 00:29:52+00:00,0.02,69030.06,98722.47,29692.41,2275.00,57,1,Em análise
522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,35,DF,412,98,2010-02-14 07:18:42+00:00,0.01,112488.56,193436.68,80948.12,3743.50,38,5,Validação documentos
729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,69,SP,286,63,2012-02-05 11:08:38+00:00,0.02,110304.51,198967.85,88663.34,2349.40,87,5,Aprovada
729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,69,SP,1675,73,2021-07-19 11:14:53+00:00,0.02,154071.59,208040.39,53968.80,9296.03,21,1,Aprovada
729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,69,SP,201,9,2010-03-02 07:15:51+00:00,0.01,12337.35,18284.34,5946.99,254.10,79,1,Em análise
729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,69,SP,883,92,2013-11-11 05:11:43+00:00,0.01,55137.39,83213.64,28076.25,786.90,119,1,Validação documentos
887,Kevin,Lima,kamilly26@example.net,PF,2021-02-27 11:43:00 UTC,538.169.047-93,1950-07-09,"Passarela Silva, 4 Vila Nova Cachoeirinha 2ª Seção 92334096 Alves do Oeste / ES",12716-003,75,ES,913,55,2014-02-06 21:23:42+00:00,0.02,79994.53,119144.52,39149.99,3720.96,29,3,Aprovada
70,Enrico,Melo,pedro-henriqueviana@example.org,PF,2021-02-18 15:23:00 UTC,418.962.035-15,1988-11-08,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526,37,SC,1113,20,2021-01-06 05:30:01+00:00,0.02,71453.78,104460.86,33007.08,1663.61,100,4,Enviada
70,Enrico,Melo,pedro-henriqueviana@example.org,PF,2021-02-18 15:23:00 UTC,418.962.035-15,1988-11-08,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526,37,SC,1860,29,2011-08-19 07:03:50+00:00,0.02,70038.21,84072.66,14034.45,2368.39,47,0,Em análise
70,Enrico,Melo,pedro-henriqueviana@example.org,PF,2021-02-18 15:23:00 UTC,418.962.035-15,1988-11-08,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526,37,SC,193,54,2012-07-29 08:37:02+00:00,0.01,27901.22,44423.37,16522.15,743.67,47,4,Em análise
226,Isabella,Melo,vramos@example.com,PF,2017-01-14 11:27:00 UTC,716.452.809-85,1952-10-01,"Viela Theo Ramos, 14 Paquetá 59350-231 Pereira da Serra / SC",16954952,73,SC,1426,38,2014-05-22 23:34:37+00:00,0.02,203774.31,243811.26,40036.95,4675.63,74,6,Aprovada
226,Isabella,Melo,vramos@example.com,PF,2017-01-14 11:27:00 UTC,716.452.809-85,1952-10-01,"Viela Theo Ramos, 14 Paquetá 59350-231 Pereira da Serra / SC",16954952,73,SC,1394,85,2014-11-24 06:58:17+00:00,0.01,24700.41,42190.52,17490.11,613.13,57,0,Em análise
239,Bernardo,Melo,maria-alice61@example.net,PF,2017-02-25 16:31:00 UTC,327.459.861-55,1979-04-26,"Fazenda Gomes, 81 Cidade Jardim Taquaril 81318-214 da Rocha do Galho / PE",51092202,46,PE,1216,40,2019-08-14 14:15:14+00:00,0.02,77700.32,137032.72,59332.40,2028.46,68,2,Validação documentos
265,Heitor,Melo,vitor-gabrielmonteiro@example.com,PF,2019-06-05 11:17:00 UTC,598.067.321-03,1989-10-25,"Vila Gonçalves, 11 Pousada Santo Antonio 46466-651 Ferreira / GO",96975888,36,GO,361,48,2016-10-29 01:44:48+00:00,0.02,100862.14,153122.88,52260.74,7363.94,16,3,Validação documentos
366,Pedro,Melo,arthurvieira@example.com,PF,2014-06-06 15:19:00 UTC,809.461.527-30,1978-03-21,"Lago de Barros, 8 Sport Club 21887406 Monteiro das Flores / GO",73739-486,47,GO,917,99,2012-07-13 15:53:52+00:00,0.02,54342.75,97311.34,42968.59,1379.12,63,4,Enviada
366,Pedro,Melo,arthurvieira@example.com,PF,2014-06-06 15:19:00 UTC,809.461.527-30,1978-03-21,"Lago de Barros, 8 Sport Club 21887406 Monteiro das Flores / GO",73739-486,47,GO,1716,84,2014-06-28 05:06:57+00:00,0.02,32782.29,60601.82,27819.53,605.17,119,4,Validação documentos
467,Gustavo Henrique,Melo,da-cunhabrenda@example.com,PF,2018-02-26 12:52:00 UTC,532.709.841-97,1999-10-12,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820,26,ES,867,21,2013-11-13 21:05:12+00:00,0.01,79939.94,159313.51,79373.57,2386.29,41,3,Aprovada
467,Gustavo Henrique,Melo,da-cunhabrenda@example.com,PF,2018-02-26 12:52:00 UTC,532.709.841-97,1999-10-12,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820,26,ES,1414,79,2019-11-21 06:54:43+00:00,0.02,77389.43,125685.43,48296.00,5609.84,16,5,Em análise
467,Gustavo Henrique,Melo,da-cunhabrenda@example.com,PF,2018-02-26 12:52:00 UTC,532.709.841-97,1999-10-12,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820,26,ES,409,49,2014-07-11 01:42:45+00:00,0.01,35554.28,60545.37,24991.09,1454.14,28,2,Validação documentos
467,Gustavo Henrique,Melo,da-cunhabrenda@example.com,PF,2018-02-26 12:52:00 UTC,532.709.841-97,1999-10-12,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820,26,ES,1789,69,2013-12-07 08:40:25+00:00,0.02,119494.48,172453.13,52958.65,3200.97,64,1,Validação documentos
602,Thomas,Melo,mda-rocha@example.net,PF,2018-10-24 13:07:00 UTC,549.671.082-02,1991-08-25,"Vila de Pereira, 48 Mantiqueira 16617426 Cardoso / BA",77360-182,34,BA,912,34,2017-08-03 20:08:25+00:00,0.02,5554.13,8454.51,2900.38,175.04,52,6,Enviada
602,Thomas,Melo,mda-rocha@example.net,PF,2018-10-24 13:07:00 UTC,549.671.082-02,1991-08-25,"Vila de Pereira, 48 Mantiqueira 16617426 Cardoso / BA",77360-182,34,BA,1850,20,2012-10-14 21:55:11+00:00,0.02,11526.10,22325.93,10799.83,223.16,108,4,Em análise
602,Thomas,Melo,mda-rocha@example.net,PF,2018-10-24 13:07:00 UTC,549.671.082-02,1991-08-25,"Vila de Pereira, 48 Mantiqueira 16617426 Cardoso / BA",77360-182,34,BA,161,81,2015-03-29 02:21:30+00:00,0.02,170214.62,210891.78,40677.16,3954.16,120,0,Em análise
691,Raquel,Melo,thiago84@example.net,PF,2020-07-15 16:46:00 UTC,874.351.602-53,1978-08-21,Sítio Enzo Fernandes Madre Gertrudes 07858527 da Cruz Verde / AP,51214338,47,AP,995,37,2015-10-06 21:20:05+00:00,0.02,38630.93,75077.50,36446.57,950.72,70,0,Aprovada
691,Raquel,Melo,thiago84@example.net,PF,2020-07-15 16:46:00 UTC,874.351.602-53,1978-08-21,Sítio Enzo Fernandes Madre Gertrudes 07858527 da Cruz Verde / AP,51214338,47,AP,1316,37,2021-06-29 02:13:08+00:00,0.02,32267.98,44016.38,11748.40,660.68,95,4,Aprovada
691,Raquel,Melo,thiago84@example.net,PF,2020-07-15 16:46:00 UTC,874.351.602-53,1978-08-21,Sítio Enzo Fernandes Madre Gertrudes 07858527 da Cruz Verde / AP,51214338,47,AP,654,70,2012-04-18 02:12:19+00:00,0.02,55878.03,95783.77,39905.74,2067.54,43,5,Aprovada
783,Nicole,Melo,ericknogueira@example.com,PF,2015-09-21 11:35:00 UTC,602.143.987-22,1968-07-13,"Sítio Teixeira, 99 Conjunto Jatoba 48852-845 Correia de Goiás / PI",49990438,57,PI,44,68,2010-08-29 02:38:52+00:00,0.01,161718.07,215887.80,54169.73,10618.45,17,1,Validação documentos
786,Luna,Melo,oliveiradavi@example.net,PF,2019-01-21 14:29:00 UTC,125.386.974-09,1959-05-16,"Morro Kaique Fogaça, 5 Barão Homem De Melo 2ª Seção 99410668 Fernandes / RN",84504002,66,RN,1870,40,2021-07-04 20:22:20+00:00,0.02,67383.15,99727.99,32344.84,2849.99,35,2,Enviada
792,Levi,Melo,da-cunhajoao-guilherme@example.net,PF,2018-12-08 12:54:00 UTC,061.947.285-58,1977-01-11,"Vereda Vieira, 835 Baleia 98810617 Oliveira da Prata / BA",63158375,48,BA,1970,54,2022-06-27 23:01:44+00:00,0.01,9634.80,18831.94,9197.14,180.02,77,1,Aprovada
792,Levi,Melo,da-cunhajoao-guilherme@example.net,PF,2018-12-08 12:54:00 UTC,061.947.285-58,1977-01-11,"Vereda Vieira, 835 Baleia 98810617 Oliveira da Prata / BA",63158375,48,BA,720,65,2013-09-08 07:06:22+00:00,0.02,160577.96,202934.93,42356.97,4805.87,47,4,Validação documentos
811,Yuri,Melo,mouralivia@example.com,PF,2018-08-06 11:04:00 UTC,943.162.708-69,1972-11-13,"Estrada Nicole Moraes, 36 Vila Petropolis 83982453 Alves / TO",69025958,53,TO,253,68,2022-02-21 06:15:50+00:00,0.01,92743.18,113289.30,20546.12,6531.27,16,5,Aprovada
811,Yuri,Melo,mouralivia@example.com,PF,2018-08-06 11:04:00 UTC,943.162.708-69,1972-11-13,"Estrada Nicole Moraes, 36 Vila Petropolis 83982453 Alves / TO",69025958,53,TO,1318,27,2019-03-01 10:32:37+00:00,0.02,159992.40,204814.51,44822.11,10365.29,19,3,Em análise
834,Luna,Melo,caldeiranicolas@example.com,PF,2015-03-25 14:02:00 UTC,416.287.395-09,1967-09-20,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597,58,RJ,1873,44,2011-07-16 08:55:50+00:00,0.01,27968.99,42190.42,14221.43,2328.61,13,6,Em análise
834,Luna,Melo,caldeiranicolas@example.com,PF,2015-03-25 14:02:00 UTC,416.287.395-09,1967-09-20,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597,58,RJ,1381,65,2016-12-18 15:50:43+00:00,0.01,136971.80,162117.27,25145.47,2398.24,111,1,Em análise
834,Luna,Melo,caldeiranicolas@example.com,PF,2015-03-25 14:02:00 UTC,416.287.395-09,1967-09-20,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597,58,RJ,1708,71,2020-04-25 16:06:35+00:00,0.01,204394.41,249758.68,45364.27,16673.98,13,1,Em análise
834,Luna,Melo,caldeiranicolas@example.com,PF,2015-03-25 14:02:00 UTC,416.287.395-09,1967-09-20,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597,58,RJ,261,89,2016-01-25 13:09:28+00:00,0.01,149379.28,205863.25,56483.97,7209.56,25,3,Em análise
911,Daniel,Melo,nicole57@example.com,PF,2011-09-22 12:17:00 UTC,576.184.902-01,1984-03-23,"Vale Antônio Lima, 4 São João 47295-375 Nunes / PA",04065275,41,PA,920,52,2020-09-25 07:08:27+00:00,0.01,42931.19,73757.17,30825.98,624.91,120,4,Enviada
911,Daniel,Melo,nicole57@example.com,PF,2011-09-22 12:17:00 UTC,576.184.902-01,1984-03-23,"Vale Antônio Lima, 4 São João 47295-375 Nunes / PA",04065275,41,PA,604,21,2017-04-05 17:07:50+00:00,0.01,111488.42,156289.02,44800.60,2542.12,57,0,Em análise
924,Melissa,Melo,samuelmonteiro@example.com,PF,2021-10-20 15:55:00 UTC,412.307.695-52,1988-07-08,Trecho Daniel Freitas Vila Dos Anjos 03780697 Nascimento / PB,47546-871,37,PB,24,69,2015-09-02 00:42:44+00:00,0.02,41488.46,76889.12,35400.66,1099.89,64,6,Aprovada
924,Melissa,Melo,samuelmonteiro@example.com,PF,2021-10-20 15:55:00 UTC,412.307.695-52,1988-07-08,Trecho Daniel Freitas Vila Dos Anjos 03780697 Nascimento / PB,47546-871,37,PB,1428,11,2012-05-28 08:59:28+00:00,0.02,24740.02,39246.81,14506.79,681.44,91,0,Em análise
924,Melissa,Melo,samuelmonteiro@example.com,PF,2021-10-20 15:55:00 UTC,412.307.695-52,1988-07-08,Trecho Daniel Freitas Vila Dos Anjos 03780697 Nascimento / PB,47546-871,37,PB,1676,43,2017-07-26 11:23:19+00:00,0.02,118131.86,192952.64,74820.78,3323.16,55,3,Validação documentos
56,Maria Luiza,Alves,souzasophie@example.org,PF,2022-09-21 14:40:00 UTC,428.691.053-98,1992-09-08,"Loteamento Campos, 6 Dona Clara 75778-811 Pires das Flores / SP",87868-132,33,SP,1726,22,2014-05-24 22:58:13+00:00,0.01,57910.76,77127.49,19216.73,3691.73,18,4,Enviada
56,Maria Luiza,Alves,souzasophie@example.org,PF,2022-09-21 14:40:00 UTC,428.691.053-98,1992-09-08,"Loteamento Campos, 6 Dona Clara 75778-811 Pires das Flores / SP",87868-132,33,SP,47,36,2021-12-31 11:29:02+00:00,0.01,105484.71,145685.49,40200.78,1983.24,88,3,Em análise
71,Luiza,Alves,sdias@example.com,PF,2013-12-14 13:59:00 UTC,578.962.410-30,1954-12-31,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393,71,AL,204,71,2012-07-10 22:04:23+00:00,0.02,40042.40,75600.76,35558.36,8611.56,5,4,Enviada
71,Luiza,Alves,sdias@example.com,PF,2013-12-14 13:59:00 UTC,578.962.410-30,1954-12-31,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393,71,AL,714,90,2012-07-06 17:49:44+00:00,0.02,100499.86,188600.01,88100.15,2931.73,74,4,Em análise
71,Luiza,Alves,sdias@example.com,PF,2013-12-14 13:59:00 UTC,578.962.410-30,1954-12-31,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393,71,AL,1524,97,2014-11-15 02:36:18+00:00,0.02,27295.90,52005.89,24709.99,530.50,101,5,Em análise
71,Luiza,Alves,sdias@example.com,PF,2013-12-14 13:59:00 UTC,578.962.410-30,1954-12-31,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393,71,AL,1351,42,2021-02-12 09:06:07+00:00,0.02,80735.34,154852.70,74117.36,2071.29,60,5,Validação documentos
92,Daniel,Alves,carvalhofernando@example.com,PF,2017-02-03 15:31:00 UTC,923.540.671-43,1969-11-22,"Alameda Maria Clara Lopes, 48 Alto Barroca 93067-803 Ramos da Serra / RJ",30314554,56,RJ,746,9,2011-12-01 03:32:56+00:00,0.02,75780.24,108197.34,32417.10,2053.98,98,4,Aprovada
92,Daniel,Alves,carvalhofernando@example.com,PF,2017-02-03 15:31:00 UTC,923.540.671-43,1969-11-22,"Alameda Maria Clara Lopes, 48 Alto Barroca 93067-803 Ramos da Serra / RJ",30314554,56,RJ,1244,86,2018-03-25 13:56:25+00:00,0.02,59378.08,78516.30,19138.22,1550.55,113,4,Em análise
116,Isaac,Alves,fmoraes@example.com,PF,2014-10-17 13:19:00 UTC,783.290.516-68,1953-08-01,"Setor Silveira, 9 Esperança 54390-541 Cavalcanti / PB",75462082,72,PB,1347,45,2017-12-22 11:22:34+00:00,0.02,168528.93,225773.97,57245.04,5672.93,54,1,Aprovada
289,Maria Alice,Alves,renanmoura@example.net,PF,2022-12-11 14:34:00 UTC,826.703.591-59,1983-02-14,Lago da Cunha São Francisco Das Chagas 39623597 da Cunha / MS,11965-789,42,MS,162,39,2018-11-25 02:54:13+00:00,0.02,32620.62,46158.58,13537.96,1783.31,23,6,Enviada
364,Miguel,Alves,bcarvalho@example.net,PF,2013-09-07 14:06:00 UTC,806.751.439-93,1967-07-30,"Favela Mendes, 15 Cônego Pinheiro 1ª Seção 48858415 Ramos / PI",14157-016,58,PI,958,74,2021-12-24 20:22:47+00:00,0.02,112903.64,156235.69,43332.05,2928.72,115,2,Em análise
381,Melissa,Alves,oliveiracecilia@example.net,PF,2016-10-21 15:50:00 UTC,753.481.029-97,1972-11-01,"Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",26941177,53,RO,953,1,2011-02-23 07:57:58+00:00,0.02,47784.65,59530.61,11745.96,955.04,109,3,Enviada
